period,date,winner,loser,winner_odds,loser_odds,winner_score,loser_score
20,2023-12-30,Nott'm Forest,Man United,3.2,2.15,2,1
20,2023-12-30,Wolves,Everton,2.63,2.7,3,0
20,2023-12-31,Fulham,Arsenal,5.25,1.55,2,1
20,2023-12-31,Tottenham,Bournemouth,1.75,4,3,1
20,2024-01-01,Liverpool,Newcastle,1.45,7,4,2
22,2024-01-13,Chelsea,Fulham,1.6,5.25,1,0
22,2024-01-13,Man City,Newcastle,1.55,5.5,3,2
23,2024-01-20,Arsenal,Crystal Palace,1.3,9,5,0
23,2024-01-20,Brentford,Nott'm Forest,1.91,4,3,2
23,2024-01-21,Liverpool,Bournemouth,1.7,4.2,4,0
24,2024-01-30,Arsenal,Nott'm Forest,1.4,7.5,2,1
24,2024-01-30,Crystal Palace,Sheffield United,1.62,6.5,3,2
24,2024-01-30,Luton,Brighton,4.2,1.75,4,0
24,2024-01-30,Newcastle,Aston Villa,3.8,1.85,3,1
24,2024-01-31,Liverpool,Chelsea,1.57,5.25,4,1
24,2024-01-31,Man City,Burnley,1.08,21,3,1
24,2024-01-31,Tottenham,Brentford,1.67,4.75,3,2
24,2024-02-01,Man United,Wolves,2.55,2.63,4,3
25,2024-02-03,Aston Villa,Sheffield United,1.62,5.25,5,0
25,2024-02-03,Brighton,Crystal Palace,1.7,4.75,4,1
25,2024-02-04,Arsenal,Liverpool,2.2,3.1,3,1
25,2024-02-04,Man United,West Ham,1.62,5,3,0
25,2024-02-04,Wolves,Chelsea,5.5,1.62,4,2
25,2024-02-05,Man City,Brentford,1.4,7,3,1
26,2024-02-10,Brentford,Wolves,3.4,2.1,2,0
26,2024-02-10,Fulham,Bournemouth,2.38,2.8,3,1
26,2024-02-10,Liverpool,Burnley,1.17,17,3,1
26,2024-02-10,Man City,Everton,1.18,13,2,0
26,2024-02-10,Newcastle,Nott'm Forest,2.05,3.3,3,2
26,2024-02-10,Sheffield United,Luton,4.75,1.75,3,1
26,2024-02-10,Tottenham,Brighton,1.8,3.8,2,1
26,2024-02-11,Arsenal,West Ham,1.53,6,6,0
26,2024-02-11,Man United,Aston Villa,3.1,2.15,2,1
26,2024-02-12,Chelsea,Crystal Palace,1.85,4.2,3,1
27,2024-02-17,Arsenal,Burnley,1.29,10,5,0
27,2024-02-17,Aston Villa,Fulham,2.2,2.9,2,1
27,2024-02-17,Liverpool,Brentford,1.57,5.5,4,1
27,2024-02-17,Nott'm Forest,West Ham,2.38,2.9,2,0
27,2024-02-17,Wolves,Tottenham,5.25,1.53,2,1
27,2024-02-18,Brighton,Sheffield United,1.62,5,5,0
27,2024-02-18,Man United,Luton,1.8,4,2,1
27,2024-02-20,Man City,Brentford,1.18,13,1,0
27,2024-02-21,Liverpool,Luton,1.2,13,4,1
28,2024-02-24,Arsenal,Newcastle,1.36,8,4,1
28,2024-02-24,Aston Villa,Nott'm Forest,1.53,5.75,4,2
28,2024-02-24,Crystal Palace,Burnley,1.95,4,3,0
28,2024-02-24,Fulham,Man United,5.5,1.57,2,1
28,2024-02-24,Man City,Bournemouth,1.4,7,1,0
28,2024-02-25,Wolves,Sheffield United,1.44,7,1,0
28,2024-02-26,West Ham,Brentford,2.5,2.75,4,2
29,2024-03-02,Aston Villa,Luton,1.73,4.33,3,2
29,2024-03-02,Fulham,Brighton,2.55,2.63,3,0
29,2024-03-02,Liverpool,Nott'm Forest,1.53,6,1,0
29,2024-03-02,Newcastle,Wolves,1.91,3.6,3,0
29,2024-03-02,Tottenham,Crystal Palace,1.5,6.5,3,1
29,2024-03-02,West Ham,Everton,3.5,2.05,3,1
29,2024-03-03,Bournemouth,Burnley,1.95,3.75,2,0
29,2024-03-03,Man City,Man United,1.25,11,3,1
29,2024-03-04,Arsenal,Sheffield United,1.18,17,6,0
30,2024-03-09,Arsenal,Brentford,1.22,11,2,1
30,2024-03-09,Man United,Everton,1.83,4,2,0
30,2024-03-09,Wolves,Fulham,2.5,2.75,2,1
30,2024-03-10,Brighton,Nott'm Forest,1.8,4,1,0
30,2024-03-10,Tottenham,Aston Villa,2.6,2.38,4,0
30,2024-03-11,Chelsea,Newcastle,1.91,3.6,3,2
30,2024-03-13,Bournemouth,Luton,1.5,5.75,4,3
31,2024-03-16,Burnley,Brentford,3.25,2.15,2,1
31,2024-03-16,Fulham,Tottenham,3.5,1.95,3,0
33,2024-03-30,Aston Villa,Wolves,1.6,5,2,0
33,2024-03-30,Bournemouth,Everton,2.2,3.2,2,1
33,2024-03-30,Newcastle,West Ham,1.83,3.8,4,3
33,2024-03-30,Tottenham,Luton,1.2,11,2,1
33,2024-03-31,Liverpool,Brighton,1.36,7.5,2,1
33,2024-04-02,Bournemouth,Crystal Palace,1.95,3.6,1,0
33,2024-04-02,Nott'm Forest,Fulham,2.7,2.63,3,1
33,2024-04-03,Arsenal,Luton,1.1,19,2,0
33,2024-04-03,Man City,Aston Villa,1.3,8,4,1
33,2024-04-04,Chelsea,Man United,2,3.4,4,3
33,2024-04-04,Liverpool,Sheffield United,1.09,21,3,1
34,2024-04-06,Arsenal,Brighton,1.62,5,3,0
34,2024-04-06,Everton,Burnley,1.65,5.25,1,0
34,2024-04-06,Luton,Bournemouth,3.75,1.91,2,1
34,2024-04-06,Man City,Crystal Palace,1.33,9.5,4,2
34,2024-04-06,Newcastle,Fulham,2.8,2.38,1,0
34,2024-04-06,West Ham,Wolves,2.7,2.5,2,1
34,2024-04-07,Tottenham,Nott'm Forest,1.4,6.5,3,1
35,2024-04-13,Brentford,Sheffield United,1.44,6.5,2,0
35,2024-04-13,Man City,Luton,1.1,19,5,1
35,2024-04-13,Newcastle,Tottenham,2.7,2.3,4,0
35,2024-04-14,Aston Villa,Arsenal,10,1.29,2,0
35,2024-04-14,Crystal Palace,Liverpool,12,1.22,1,0
35,2024-04-14,Fulham,West Ham,2.8,2.38,2,0
35,2024-04-15,Chelsea,Everton,1.7,4.5,6,0
36,2024-04-20,Arsenal,Wolves,1.4,8.5,2,0
36,2024-04-20,Brentford,Luton,2.15,3.1,5,1
36,2024-04-20,Burnley,Sheffield United,2.45,2.75,4,1
36,2024-04-21,Aston Villa,Bournemouth,1.85,3.6,3,1
36,2024-04-21,Crystal Palace,West Ham,2.1,3.4,5,2
36,2024-04-21,Everton,Nott'm Forest,2.05,3.6,2,0
36,2024-04-21,Liverpool,Fulham,1.57,5.25,3,1
36,2024-04-23,Arsenal,Chelsea,1.44,6,5,0
36,2024-04-24,Bournemouth,Wolves,2.5,2.7,1,0
36,2024-04-24,Crystal Palace,Newcastle,2.75,2.4,2,0
36,2024-04-24,Everton,Liverpool,7,1.4,2,0
36,2024-04-24,Man United,Sheffield United,1.3,7.5,4,2
36,2024-04-25,Man City,Brighton,1.4,6.5,4,0
37,2024-04-27,Everton,Brentford,2.3,3,1,0
37,2024-04-27,Newcastle,Sheffield United,1.22,11,5,1
